eventname, startdate, enddate, location
Supercross Rd1 Anaheim 1,2024-01-07 01:00,2024-01-07 04:00,Anaheim
Supercross Rd2 San Francisco,2024-01-14 01:30,2024-01-14 4:30,San Francisco
Supercross Rd3 San Diego,2024-01-21 01:30,2024-01-24 04:30,San Diego
Supercross Rd4 Anaheim 2,2024-01-28 1:30,2024-01-28 04:30,Anaheim
Supercross Rd5 Detroit,2024-02-03 20:00,2024-02-04 23:00,Detroit 
Supercross Rd6 Glendale,2024-02-11 01:30,2024-02-11 04:30,Glendale
Supercross Rd7 Arlington,2024-02-25 00:00,2024-02-25 03:00,Arlington
Supercross Rd8 Daytona,2024-03-03 00:00,2024-03-03 03:00,Daytona
Supercross Rd9 Birmingham,2024-03-10 00:00,2024-03-10 03:00,Birmingham
Supercross Rd10 Indianapolis,2024-03-16 23:00,2024-03-17 02:00,Indianapolis
Supercross Rd11 Seatle,2024-03-24 00:00,2024-03-24 03:00,Seatle
Supercross Rd12 St Louis,2024-03-30 23:00,2024-03-31 02:00,St Louis
Supercross Rd13 Foxborough,2024-04-14 00:00,2024-04-14 03:00,Foxborough
Supercross Rd14 Nashville,2024-04-21 00:00,2024-04-21 03:00,Nashville
Supercross Rd15 Philadelphia,2024-04-27 20:00,2024-04-28 23:00,Philadelphia
Supercross Rd16 Denver,2024-05-05 03:00,2024-05-05 06:00,Denver
Supercross Rd17 Salt Lake City,2024-05-12 00:00,2024-05-12 03:00,Salt Lake City
